no.,餐點名稱,餐點價格,ubereats價格,熊貓價格,餐點圖片名稱,餐點類別
1,酥皮焗叉燒包,148,150,148,tim_00.png,招牌必點
2,添好運流沙包,148,150,148,tim_01.png,招牌必點
3,好運冰火菠蘿,118,120,118,tim_02.png,招牌必點
4,添好運一口蛋撻,66,100,98,tim_03.png,招牌必點
5,港式牛肉麵,208,210,208,tim_04.png,主食
6,港式牛肉撈麵,208,210,208,tim_05.png,主食
7,XO醬臘味炒飯,168,170,168,tim_06.png,主食
8,干貝絲炒麵,168,170,168,tim_07.png,主食
9,古法糯米雞,168,170,168,tim_08.png,主食
10,金銀蛋瘦肉粥,118,120,118,tim_09.png,主食
11,臘腸北菇雞飯,148,150,148,tim_10.png,主食
12,晶瑩鮮蝦餃,148,150,148,tim_11.png,蒸點
13,鮮蝦燒賣皇,148,150,148,tim_12.png,蒸點
14,鮑汁燜鳳爪,148,150,148,tim_13.png,蒸點
15,鮮蝦菠菜餃,128,140,138,tim_14.png,蒸點
16,豉汁蒸肉排,128,130,128,tim_15.png,蒸點
17,山竹牛肉球,118,130,128,tim_16.png,蒸點
18,香蒸芋頭糕,128,130,128,tim_17.png,蒸點
19,美味燜鮮竹卷,128,130,128,tim_18.png,蒸點
20,鮮蝦腐皮卷,148,150,148,tim_19.png,煎/炸點
21,香煎蘿蔔糕,118,130,128,tim_20.png,煎/炸點
22,賽螃蟹春卷,128,130,128,tim_21.png,煎/炸點
23,香鬆炸豆腐,108,120,118,tim_22.png,煎/炸點
24,韮王鮮蝦腸,148,150,148,tim_23.png,腸粉
25,葱花雪蛋腸粉,128,130,128,tim_24.png,腸粉
26,香滑牛肉腸,128,130,128,tim_25.png,腸粉
27,蜜味叉燒腸,148,150,148,tim_26.png,腸粉
28,有機季節時蔬,148,150,148,tim_27.png,時蔬
29,金絲高麗菜,118,120,118,tim_28.png,時蔬
30,蟲草猴頭菇燉湯,148,150,148,tim_29.png,湯品
31,白胡椒肚片湯,148,150,148,tim_30.png,湯品
32,楊枝甘露,148,150,148,tim_31.png,甜品
33,小心流沙煎堆,118,120,118,tim_32.png,甜品
34,紫米薏仁椰奶,118,120,118,tim_33.png,甜品
35,芋頭西米露(熱),118,120,118,tim_34.png,甜品
36,好運馬來糕,128,140,138,tim_35.png,甜品
37,波霸港式奶茶,118,120,118,tim_36.png,特色飲品
38,港式奶茶,98,100,98,tim_37.png,特色飲品
39,招牌凍檸茶,98,100,98,tim_38.png,特色飲品
40,鴛鴦奶茶,98,100,98,tim_39.png,特色飲品
41,波霸鴛鴦奶茶,118,120,118,tim_40.png,特色飲品
42,凍鹹檸蘇打,118,120,118,tim_41.png,特色飲品
43,薏米水,68,70,68,tim_42.png,特色飲品
